SEASON_YEAR,GAME_ID,GAME_DATE,HOME_TEAM,HOME_TEAM_ABBREVIATION,AWAY_TEAM,AWAY_TEAM_ABBREVIATION,HOME_POINTS,AWAY_POINTS,WINNER
2011-12,21100597,2012-03-10,New Jersey Nets,NJN,Houston Rockets,HOU,106,112,Houston Rockets
2011-12,21100598,2012-03-10,Chicago Bulls,CHI,Utah Jazz,UTA,111,97,Chicago Bulls
2011-12,21100599,2012-03-10,Oklahoma City Thunder,OKC,Charlotte Bobcats,CHA,122,95,Oklahoma City Thunder
2011-12,21100600,2012-03-10,Minnesota Timberwolves,MIN,New Orleans Hornets,NOH,89,95,New Orleans Hornets
2011-12,21100601,2012-03-10,Phoenix Suns,PHX,Memphis Grizzlies,MEM,98,91,Phoenix Suns
2011-12,21100602,2012-03-10,Golden State Warriors,GSW,Dallas Mavericks,DAL,111,87,Golden State Warriors
2011-12,21100603,2012-03-11,New York Knicks,NYK,Philadelphia 76ers,PHI,94,106,Philadelphia 76ers
2011-12,21100604,2012-03-11,Los Angeles Lakers,LAL,Boston Celtics,BOS,97,94,Los Angeles Lakers
2011-12,21100605,2012-03-11,Toronto Raptors,TOR,Milwaukee Bucks,MIL,99,105,Milwaukee Bucks
2011-12,21100606,2012-03-11,Orlando Magic,ORL,Indiana Pacers,IND,107,94,Orlando Magic
2011-12,21100607,2012-03-11,Cleveland Cavaliers,CLE,Houston Rockets,HOU,118,107,Cleveland Cavaliers
2011-12,21100608,2012-03-11,Denver Nuggets,DEN,Memphis Grizzlies,MEM,91,94,Memphis Grizzlies
2011-12,21100609,2012-03-11,Sacramento Kings,SAC,Atlanta Hawks,ATL,99,106,Atlanta Hawks
2011-12,21100610,2012-03-11,Los Angeles Clippers,LAC,Golden State Warriors,GSW,93,97,Golden State Warriors
2011-12,21100611,2012-03-12,New Jersey Nets,NJN,Milwaukee Bucks,MIL,99,105,Milwaukee Bucks
2011-12,21100612,2012-03-12,Chicago Bulls,CHI,New York Knicks,NYK,104,99,Chicago Bulls
2011-12,21100613,2012-03-12,New Orleans Hornets,NOH,Charlotte Bobcats,CHA,71,73,Charlotte Bobcats
2011-12,21100614,2012-03-12,San Antonio Spurs,SAS,Washington Wizards,WAS,112,97,San Antonio Spurs
2011-12,21100615,2012-03-12,Utah Jazz,UTA,Detroit Pistons,DET,105,90,Utah Jazz
2011-12,21100616,2012-03-12,Phoenix Suns,PHX,Minnesota Timberwolves,MIN,124,127,Minnesota Timberwolves
2011-12,21100617,2012-03-12,Los Angeles Clippers,LAC,Boston Celtics,BOS,85,94,Boston Celtics
2011-12,21100618,2012-03-13,Orlando Magic,ORL,Miami Heat,MIA,104,98,Orlando Magic
2011-12,21100619,2012-03-13,Cleveland Cavaliers,CLE,Toronto Raptors,TOR,88,96,Toronto Raptors
2011-12,21100620,2012-03-13,Indiana Pacers,IND,Portland Trail Blazers,POR,92,75,Indiana Pacers
2011-12,21100621,2012-03-13,Memphis Grizzlies,MEM,Los Angeles Lakers,LAL,111,116,Los Angeles Lakers
2011-12,21100622,2012-03-13,Oklahoma City Thunder,OKC,Houston Rockets,HOU,103,104,Houston Rockets
2011-12,21100623,2012-03-13,Dallas Mavericks,DAL,Washington Wizards,WAS,107,98,Dallas Mavericks
2011-12,21100624,2012-03-13,Denver Nuggets,DEN,Atlanta Hawks,ATL,118,117,Denver Nuggets
2011-12,21100625,2012-03-13,Sacramento Kings,SAC,Golden State Warriors,GSW,89,115,Golden State Warriors
2011-12,21100626,2012-03-14,Indiana Pacers,IND,Philadelphia 76ers,PHI,111,94,Indiana Pacers
2011-12,21100627,2012-03-14,New Jersey Nets,NJN,Toronto Raptors,TOR,98,84,New Jersey Nets
2011-12,21100628,2012-03-14,New York Knicks,NYK,Portland Trail Blazers,POR,121,79,New York Knicks
2011-12,21100629,2012-03-14,Chicago Bulls,CHI,Miami Heat,MIA,106,102,Chicago Bulls
2011-12,21100630,2012-03-14,Milwaukee Bucks,MIL,Cleveland Cavaliers,CLE,115,105,Milwaukee Bucks
2011-12,21100631,2012-03-14,New Orleans Hornets,NOH,Los Angeles Lakers,LAL,101,107,Los Angeles Lakers
2011-12,21100632,2012-03-14,Houston Rockets,HOU,Charlotte Bobcats,CHA,107,87,Houston Rockets
2011-12,21100633,2012-03-14,San Antonio Spurs,SAS,Orlando Magic,ORL,122,111,San Antonio Spurs
2011-12,21100634,2012-03-14,Sacramento Kings,SAC,Detroit Pistons,DET,112,124,Detroit Pistons
2011-12,21100635,2012-03-14,Phoenix Suns,PHX,Utah Jazz,UTA,120,111,Phoenix Suns
2011-12,21100636,2012-03-14,Los Angeles Clippers,LAC,Atlanta Hawks,ATL,96,82,Los Angeles Clippers
2011-12,21100637,2012-03-14,Golden State Warriors,GSW,Boston Celtics,BOS,103,105,Boston Celtics
2011-12,21100638,2012-03-15,New Orleans Hornets,NOH,Washington Wizards,WAS,89,99,Washington Wizards
2011-12,21100639,2012-03-15,Dallas Mavericks,DAL,Charlotte Bobcats,CHA,101,96,Dallas Mavericks
2011-12,21100640,2012-03-15,Denver Nuggets,DEN,Oklahoma City Thunder,OKC,90,103,Oklahoma City Thunder
2011-12,21100641,2012-03-15,Utah Jazz,UTA,Minnesota Timberwolves,MIN,111,105,Utah Jazz
2011-12,21100642,2012-03-15,Los Angeles Clippers,LAC,Phoenix Suns,PHX,87,91,Phoenix Suns
2011-12,21100643,2012-03-16,Philadelphia 76ers,PHI,Miami Heat,MIA,78,84,Miami Heat
2011-12,21100644,2012-03-16,Orlando Magic,ORL,New Jersey Nets,NJN,86,70,Orlando Magic
2011-12,21100645,2012-03-16,New York Knicks,NYK,Indiana Pacers,IND,115,100,New York Knicks
2011-12,21100646,2012-03-16,Atlanta Hawks,ATL,Washington Wizards,WAS,102,88,Atlanta Hawks
2011-12,21100647,2012-03-16,Chicago Bulls,CHI,Portland Trail Blazers,POR,89,100,Portland Trail Blazers
2011-12,21100648,2012-03-16,Memphis Grizzlies,MEM,Toronto Raptors,TOR,110,114,Toronto Raptors
2011-12,21100649,2012-03-16,Oklahoma City Thunder,OKC,San Antonio Spurs,SAS,105,114,San Antonio Spurs
2011-12,21100650,2012-03-16,Phoenix Suns,PHX,Detroit Pistons,DET,109,101,Phoenix Suns
2011-12,21100651,2012-03-16,Sacramento Kings,SAC,Boston Celtics,BOS,120,95,Sacramento Kings
2011-12,21100652,2012-03-16,Los Angeles Lakers,LAL,Minnesota Timberwolves,MIN,97,92,Los Angeles Lakers
2011-12,21100653,2012-03-16,Golden State Warriors,GSW,Milwaukee Bucks,MIL,98,120,Milwaukee Bucks
2011-12,21100654,2012-03-17,Los Angeles Clippers,LAC,Houston Rockets,HOU,95,91,Los Angeles Clippers
2011-12,21100655,2012-03-17,Charlotte Bobcats,CHA,Toronto Raptors,TOR,107,103,Charlotte Bobcats
2011-12,21100656,2012-03-17,Indiana Pacers,IND,New York Knicks,NYK,88,102,New York Knicks
2011-12,21100657,2012-03-17,New Jersey Nets,NJN,New Orleans Hornets,NOH,94,102,New Orleans Hornets
2011-12,21100658,2012-03-17,Chicago Bulls,CHI,Philadelphia 76ers,PHI,89,80,Chicago Bulls
2011-12,21100659,2012-03-17,Dallas Mavericks,DAL,San Antonio Spurs,SAS,106,99,Dallas Mavericks
2011-12,21100660,2012-03-17,Denver Nuggets,DEN,Boston Celtics,BOS,98,91,Denver Nuggets
2011-12,21100661,2012-03-17,Utah Jazz,UTA,Golden State Warriors,GSW,99,92,Utah Jazz
2011-12,21100662,2012-03-18,Cleveland Cavaliers,CLE,Atlanta Hawks,ATL,87,103,Atlanta Hawks
2011-12,21100663,2012-03-18,Los Angeles Clippers,LAC,Detroit Pistons,DET,87,83,Los Angeles Clippers
2011-12,21100664,2012-03-18,Memphis Grizzlies,MEM,Washington Wizards,WAS,97,92,Memphis Grizzlies
2011-12,21100665,2012-03-18,Sacramento Kings,SAC,Minnesota Timberwolves,MIN,115,99,Sacramento Kings
2011-12,21100666,2012-03-18,Miami Heat,MIA,Orlando Magic,ORL,91,81,Miami Heat
2011-12,21100667,2012-03-18,Phoenix Suns,PHX,Houston Rockets,HOU,99,86,Phoenix Suns
2011-12,21100668,2012-03-18,Oklahoma City Thunder,OKC,Portland Trail Blazers,POR,111,95,Oklahoma City Thunder
2011-12,21100669,2012-03-18,Los Angeles Lakers,LAL,Utah Jazz,UTA,99,103,Utah Jazz
2011-12,21100670,2012-03-19,Charlotte Bobcats,CHA,Philadelphia 76ers,PHI,80,105,Philadelphia 76ers
2011-12,21100671,2012-03-19,New Jersey Nets,NJN,Cleveland Cavaliers,CLE,100,105,Cleveland Cavaliers
2011-12,21100672,2012-03-19,Atlanta Hawks,ATL,Boston Celtics,BOS,76,79,Boston Celtics
2011-12,21100673,2012-03-19,Orlando Magic,ORL,Chicago Bulls,CHI,59,85,Chicago Bulls
2011-12,21100674,2012-03-19,Denver Nuggets,DEN,Dallas Mavericks,DAL,95,112,Dallas Mavericks
2011-12,21100675,2012-03-19,Golden State Warriors,GSW,Minnesota Timberwolves,MIN,93,97,Minnesota Timberwolves
2011-12,21100676,2012-03-20,Indiana Pacers,IND,Los Angeles Clippers,LAC,102,89,Indiana Pacers
2011-12,21100677,2012-03-20,New York Knicks,NYK,Toronto Raptors,TOR,106,87,New York Knicks
2011-12,21100678,2012-03-20,Miami Heat,MIA,Phoenix Suns,PHX,99,95,Miami Heat
2011-12,21100679,2012-03-20,Houston Rockets,HOU,Los Angeles Lakers,LAL,107,104,Houston Rockets
2011-12,21100680,2012-03-20,Utah Jazz,UTA,Oklahoma City Thunder,OKC,97,90,Utah Jazz
2011-12,21100681,2012-03-20,Sacramento Kings,SAC,Memphis Grizzlies,MEM,119,110,Sacramento Kings
2011-12,21100682,2012-03-20,Portland Trail Blazers,POR,Milwaukee Bucks,MIL,87,116,Milwaukee Bucks
2011-12,21100683,2012-03-21,Toronto Raptors,TOR,Chicago Bulls,CHI,82,94,Chicago Bulls
2011-12,21100684,2012-03-21,Philadelphia 76ers,PHI,New York Knicks,NYK,79,82,New York Knicks
2011-12,21100685,2012-03-21,Orlando Magic,ORL,Phoenix Suns,PHX,103,93,Orlando Magic
2011-12,21100686,2012-03-21,New Jersey Nets,NJN,Washington Wizards,WAS,89,108,Washington Wizards
2011-12,21100687,2012-03-21,Atlanta Hawks,ATL,Cleveland Cavaliers,CLE,103,102,Atlanta Hawks
2011-12,21100688,2012-03-21,New Orleans Hornets,NOH,Golden State Warriors,GSW,92,101,Golden State Warriors
2011-12,21100689,2012-03-21,Oklahoma City Thunder,OKC,Los Angeles Clippers,LAC,114,91,Oklahoma City Thunder
2011-12,21100690,2012-03-21,San Antonio Spurs,SAS,Minnesota Timberwolves,MIN,116,100,San Antonio Spurs
2011-12,21100691,2012-03-21,Denver Nuggets,DEN,Detroit Pistons,DET,116,115,Denver Nuggets
2011-12,21100692,2012-03-21,Dallas Mavericks,DAL,Los Angeles Lakers,LAL,93,109,Los Angeles Lakers
2011-12,21100693,2012-03-22,Washington Wizards,WAS,Indiana Pacers,IND,83,85,Indiana Pacers
2011-12,21100694,2012-03-22,Milwaukee Bucks,MIL,Boston Celtics,BOS,91,100,Boston Celtics
2011-12,21100695,2012-03-22,New Orleans Hornets,NOH,Los Angeles Clippers,LAC,97,90,New Orleans Hornets
2011-12,21100696,2012-03-22,Houston Rockets,HOU,Golden State Warriors,GSW,109,83,Houston Rockets
2011-12,21100697,2012-03-22,Sacramento Kings,SAC,Utah Jazz,UTA,102,103,Utah Jazz
2011-12,21100698,2012-03-22,Portland Trail Blazers,POR,Memphis Grizzlies,MEM,97,93,Portland Trail Blazers
2011-12,21100699,2012-03-23,Toronto Raptors,TOR,New York Knicks,NYK,96,79,Toronto Raptors
2011-12,21100700,2012-03-23,Charlotte Bobcats,CHA,Milwaukee Bucks,MIL,92,112,Milwaukee Bucks
2011-12,21100701,2012-03-23,Orlando Magic,ORL,Cleveland Cavaliers,CLE,93,80,Orlando Magic
2011-12,21100702,2012-03-23,Indiana Pacers,IND,Phoenix Suns,PHX,111,113,Phoenix Suns
2011-12,21100703,2012-03-23,Atlanta Hawks,ATL,New Jersey Nets,NJN,93,84,Atlanta Hawks
2011-12,21100704,2012-03-23,Detroit Pistons,DET,Miami Heat,MIA,73,88,Miami Heat
2011-12,21100705,2012-03-23,Philadelphia 76ers,PHI,Boston Celtics,BOS,99,86,Philadelphia 76ers
2011-12,21100706,2012-03-23,Oklahoma City Thunder,OKC,Minnesota Timberwolves,MIN,149,140,Oklahoma City Thunder
2011-12,21100707,2012-03-23,San Antonio Spurs,SAS,Dallas Mavericks,DAL,104,87,San Antonio Spurs
2011-12,21100708,2012-03-23,Utah Jazz,UTA,Denver Nuggets,DEN,121,102,Utah Jazz
2011-12,21100709,2012-03-23,Los Angeles Lakers,LAL,Portland Trail Blazers,POR,103,96,Los Angeles Lakers
2011-12,21100710,2012-03-24,Los Angeles Clippers,LAC,Memphis Grizzlies,MEM,101,85,Los Angeles Clippers
2011-12,21100711,2012-03-24,Washington Wizards,WAS,Atlanta Hawks,ATL,92,95,Atlanta Hawks
2011-12,21100712,2012-03-24,New Jersey Nets,NJN,Charlotte Bobcats,CHA,102,89,New Jersey Nets
2011-12,21100713,2012-03-24,New York Knicks,NYK,Detroit Pistons,DET,101,79,New York Knicks
2011-12,21100714,2012-03-24,Chicago Bulls,CHI,Toronto Raptors,TOR,102,101,Chicago Bulls
2011-12,21100715,2012-03-24,New Orleans Hornets,NOH,San Antonio Spurs,SAS,86,89,San Antonio Spurs
2011-12,21100716,2012-03-24,Houston Rockets,HOU,Dallas Mavericks,DAL,99,101,Dallas Mavericks
2011-12,21100717,2012-03-24,Milwaukee Bucks,MIL,Indiana Pacers,IND,104,125,Indiana Pacers
2011-12,21100718,2012-03-24,Golden State Warriors,GSW,Sacramento Kings,SAC,111,108,Golden State Warriors
2011-12,21100719,2012-03-25,Cleveland Cavaliers,CLE,Phoenix Suns,PHX,83,108,Phoenix Suns
2011-12,21100720,2012-03-25,Minnesota Timberwolves,MIN,Denver Nuggets,DEN,117,100,Minnesota Timberwolves
2011-12,21100721,2012-03-25,Boston Celtics,BOS,Washington Wizards,WAS,88,76,Boston Celtics
2011-12,21100722,2012-03-25,Atlanta Hawks,ATL,Utah Jazz,UTA,139,133,Atlanta Hawks
2011-12,21100723,2012-03-25,San Antonio Spurs,SAS,Philadelphia 76ers,PHI,93,76,San Antonio Spurs
2011-12,21100724,2012-03-25,Oklahoma City Thunder,OKC,Miami Heat,MIA,103,87,Oklahoma City Thunder
2011-12,21100725,2012-03-25,Portland Trail Blazers,POR,Golden State Warriors,GSW,90,87,Portland Trail Blazers
2011-12,21100726,2012-03-25,Los Angeles Lakers,LAL,Memphis Grizzlies,MEM,96,102,Memphis Grizzlies
2011-12,21100727,2012-03-26,Toronto Raptors,TOR,Orlando Magic,ORL,101,117,Orlando Magic
2011-12,21100728,2012-03-26,Washington Wizards,WAS,Detroit Pistons,DET,77,79,Detroit Pistons
2011-12,21100729,2012-03-26,Charlotte Bobcats,CHA,Boston Celtics,BOS,95,102,Boston Celtics
2011-12,21100730,2012-03-26,Indiana Pacers,IND,Miami Heat,MIA,105,90,Indiana Pacers
2011-12,21100731,2012-03-26,New Jersey Nets,NJN,Utah Jazz,UTA,84,105,Utah Jazz
2011-12,21100732,2012-03-26,New York Knicks,NYK,Milwaukee Bucks,MIL,89,80,New York Knicks
2011-12,21100733,2012-03-26,Chicago Bulls,CHI,Denver Nuggets,DEN,91,108,Denver Nuggets
2011-12,21100734,2012-03-26,Houston Rockets,HOU,Sacramento Kings,SAC,113,106,Houston Rockets
2011-12,21100735,2012-03-26,Los Angeles Clippers,LAC,New Orleans Hornets,NOH,97,85,Los Angeles Clippers
2011-12,21100736,2012-03-27,Philadelphia 76ers,PHI,Cleveland Cavaliers,CLE,103,85,Philadelphia 76ers
2011-12,21100737,2012-03-27,Milwaukee Bucks,MIL,Atlanta Hawks,ATL,108,101,Milwaukee Bucks
2011-12,21100738,2012-03-27,Memphis Grizzlies,MEM,Minnesota Timberwolves,MIN,93,86,Memphis Grizzlies
2011-12,21100739,2012-03-27,Dallas Mavericks,DAL,Houston Rockets,HOU,90,81,Dallas Mavericks
2011-12,21100740,2012-03-27,Phoenix Suns,PHX,San Antonio Spurs,SAS,100,107,San Antonio Spurs
2011-12,21100741,2012-03-27,Portland Trail Blazers,POR,Oklahoma City Thunder,OKC,95,109,Oklahoma City Thunder
2011-12,21100742,2012-03-27,Golden State Warriors,GSW,Los Angeles Lakers,LAL,101,104,Los Angeles Lakers
2011-12,21100743,2012-03-28,Toronto Raptors,TOR,Denver Nuggets,DEN,105,96,Toronto Raptors
2011-12,21100744,2012-03-28,New York Knicks,NYK,Orlando Magic,ORL,108,86,New York Knicks
2011-12,21100745,2012-03-28,Charlotte Bobcats,CHA,Minnesota Timberwolves,MIN,83,88,Minnesota Timberwolves
2011-12,21100746,2012-03-28,Cleveland Cavaliers,CLE,Detroit Pistons,DET,75,87,Detroit Pistons
2011-12,21100747,2012-03-28,Boston Celtics,BOS,Utah Jazz,UTA,94,82,Boston Celtics
2011-12,21100748,2012-03-28,New Jersey Nets,NJN,Indiana Pacers,IND,100,84,New Jersey Nets
2011-12,21100749,2012-03-28,Atlanta Hawks,ATL,Chicago Bulls,CHI,77,98,Chicago Bulls
2011-12,21100750,2012-03-28,Sacramento Kings,SAC,San Antonio Spurs,SAS,112,117,San Antonio Spurs
2011-12,21100751,2012-03-28,Los Angeles Clippers,LAC,Phoenix Suns,PHX,103,86,Los Angeles Clippers
2011-12,21100752,2012-03-28,Golden State Warriors,GSW,New Orleans Hornets,NOH,87,102,New Orleans Hornets
2011-12,21100753,2012-03-29,Indiana Pacers,IND,Washington Wizards,WAS,93,89,Indiana Pacers
2011-12,21100754,2012-03-29,Miami Heat,MIA,Dallas Mavericks,DAL,106,85,Miami Heat
2011-12,21100755,2012-03-29,Portland Trail Blazers,POR,New Orleans Hornets,NOH,99,93,Portland Trail Blazers
2011-12,21100756,2012-03-29,Los Angeles Lakers,LAL,Oklahoma City Thunder,OKC,93,102,Oklahoma City Thunder
2011-12,21100757,2012-03-30,Toronto Raptors,TOR,Miami Heat,MIA,101,113,Miami Heat
2011-12,21100758,2012-03-30,Washington Wizards,WAS,Philadelphia 76ers,PHI,97,76,Washington Wizards
2011-12,21100759,2012-03-30,Charlotte Bobcats,CHA,Denver Nuggets,DEN,88,99,Denver Nuggets
2011-12,21100760,2012-03-30,Atlanta Hawks,ATL,New York Knicks,NYK,100,90,Atlanta Hawks
2011-12,21100761,2012-03-30,Cleveland Cavaliers,CLE,Milwaukee Bucks,MIL,84,121,Milwaukee Bucks
2011-12,21100762,2012-03-30,Orlando Magic,ORL,Dallas Mavericks,DAL,98,100,Dallas Mavericks
2011-12,21100763,2012-03-30,Chicago Bulls,CHI,Detroit Pistons,DET,83,71,Chicago Bulls
2011-12,21100764,2012-03-30,Houston Rockets,HOU,Memphis Grizzlies,MEM,98,89,Houston Rockets
2011-12,21100765,2012-03-30,Minnesota Timberwolves,MIN,Boston Celtics,BOS,79,100,Boston Celtics
2011-12,21100766,2012-03-30,Utah Jazz,UTA,Sacramento Kings,SAC,103,104,Sacramento Kings
2011-12,21100767,2012-03-30,Los Angeles Clippers,LAC,Portland Trail Blazers,POR,98,97,Los Angeles Clippers
2011-12,21100768,2012-03-30,Golden State Warriors,GSW,New Jersey Nets,NJN,100,102,New Jersey Nets
2011-12,21100769,2012-03-31,Los Angeles Lakers,LAL,New Orleans Hornets,NOH,88,85,Los Angeles Lakers
2011-12,21100770,2012-03-31,New York Knicks,NYK,Cleveland Cavaliers,CLE,91,75,New York Knicks
2011-12,21100771,2012-03-31,Philadelphia 76ers,PHI,Atlanta Hawks,ATL,95,90,Philadelphia 76ers
2011-12,21100772,2012-03-31,Detroit Pistons,DET,Charlotte Bobcats,CHA,110,107,Detroit Pistons
2011-12,21100773,2012-03-31,Milwaukee Bucks,MIL,Memphis Grizzlies,MEM,95,99,Memphis Grizzlies
2011-12,21100774,2012-03-31,San Antonio Spurs,SAS,Indiana Pacers,IND,112,103,San Antonio Spurs
2011-12,21100775,2012-03-31,Sacramento Kings,SAC,New Jersey Nets,NJN,99,111,New Jersey Nets
2011-12,21100776,2012-03-31,Los Angeles Clippers,LAC,Utah Jazz,UTA,105,96,Los Angeles Clippers
2011-12,21100777,2012-04-01,Oklahoma City Thunder,OKC,Chicago Bulls,CHI,92,78,Oklahoma City Thunder
2011-12,21100778,2012-04-01,Boston Celtics,BOS,Miami Heat,MIA,91,72,Boston Celtics
2011-12,21100779,2012-04-01,Toronto Raptors,TOR,Washington Wizards,WAS,99,92,Toronto Raptors
2011-12,21100780,2012-04-01,Orlando Magic,ORL,Denver Nuggets,DEN,101,104,Denver Nuggets
2011-12,21100781,2012-04-01,Houston Rockets,HOU,Indiana Pacers,IND,102,104,Indiana Pacers
2011-12,21100782,2012-04-01,Phoenix Suns,PHX,New Orleans Hornets,NOH,92,75,Phoenix Suns
2011-12,21100783,2012-04-01,Portland Trail Blazers,POR,Minnesota Timberwolves,MIN,119,106,Portland Trail Blazers
2011-12,21100784,2012-04-01,Los Angeles Lakers,LAL,Golden State Warriors,GSW,120,112,Los Angeles Lakers
2011-12,21100785,2012-04-02,Washington Wizards,WAS,Milwaukee Bucks,MIL,98,112,Milwaukee Bucks
2011-12,21100786,2012-04-02,Chicago Bulls,CHI,Houston Rockets,HOU,93,99,Houston Rockets
2011-12,21100787,2012-04-02,Oklahoma City Thunder,OKC,Memphis Grizzlies,MEM,88,94,Memphis Grizzlies
2011-12,21100788,2012-04-02,Dallas Mavericks,DAL,Los Angeles Clippers,LAC,75,94,Los Angeles Clippers
2011-12,21100789,2012-04-02,Sacramento Kings,SAC,Minnesota Timberwolves,MIN,116,108,Sacramento Kings
2011-12,21100790,2012-04-02,Portland Trail Blazers,POR,Utah Jazz,UTA,97,102,Utah Jazz
2011-12,21100791,2012-04-03,Toronto Raptors,TOR,Charlotte Bobcats,CHA,92,87,Toronto Raptors
2011-12,21100792,2012-04-03,Cleveland Cavaliers,CLE,San Antonio Spurs,SAS,90,125,San Antonio Spurs
2011-12,21100793,2012-04-03,Indiana Pacers,IND,New York Knicks,NYK,112,104,Indiana Pacers
2011-12,21100794,2012-04-03,Miami Heat,MIA,Philadelphia 76ers,PHI,99,93,Miami Heat
2011-12,21100795,2012-04-03,Detroit Pistons,DET,Orlando Magic,ORL,102,95,Detroit Pistons
2011-12,21100796,2012-04-03,Memphis Grizzlies,MEM,Golden State Warriors,GSW,98,94,Memphis Grizzlies
2011-12,21100797,2012-04-03,Sacramento Kings,SAC,Phoenix Suns,PHX,100,109,Phoenix Suns
2011-12,21100798,2012-04-03,Los Angeles Lakers,LAL,New Jersey Nets,NJN,91,87,Los Angeles Lakers
2011-12,21100799,2012-04-04,Philadelphia 76ers,PHI,Toronto Raptors,TOR,78,99,Toronto Raptors
2011-12,21100800,2012-04-04,Washington Wizards,WAS,Indiana Pacers,IND,96,109,Indiana Pacers
2011-12,21100801,2012-04-04,Boston Celtics,BOS,San Antonio Spurs,SAS,86,87,San Antonio Spurs
2011-12,21100802,2012-04-04,Atlanta Hawks,ATL,Charlotte Bobcats,CHA,120,93,Atlanta Hawks
2011-12,21100803,2012-04-04,Miami Heat,MIA,Oklahoma City Thunder,OKC,98,93,Miami Heat
2011-12,21100804,2012-04-04,Milwaukee Bucks,MIL,Cleveland Cavaliers,CLE,107,98,Milwaukee Bucks
2011-12,21100805,2012-04-04,New Orleans Hornets,NOH,Denver Nuggets,DEN,94,92,New Orleans Hornets
2011-12,21100806,2012-04-04,Minnesota Timberwolves,MIN,Golden State Warriors,GSW,94,97,Golden State Warriors
2011-12,21100807,2012-04-04,Dallas Mavericks,DAL,Memphis Grizzlies,MEM,95,85,Dallas Mavericks
2011-12,21100808,2012-04-04,Utah Jazz,UTA,Phoenix Suns,PHX,105,107,Phoenix Suns
2011-12,21100809,2012-04-04,Portland Trail Blazers,POR,New Jersey Nets,NJN,101,88,Portland Trail Blazers
2011-12,21100810,2012-04-04,Los Angeles Clippers,LAC,Los Angeles Lakers,LAL,108,113,Los Angeles Lakers
2011-12,21100811,2012-04-05,Orlando Magic,ORL,New York Knicks,NYK,80,96,New York Knicks
2011-12,21100812,2012-04-05,Detroit Pistons,DET,Washington Wizards,WAS,99,94,Detroit Pistons
2011-12,21100813,2012-04-05,Chicago Bulls,CHI,Boston Celtics,BOS,93,86,Chicago Bulls
2011-12,21100814,2012-04-05,Sacramento Kings,SAC,Los Angeles Clippers,LAC,85,93,Los Angeles Clippers
2011-12,21100815,2012-04-06,Indiana Pacers,IND,Oklahoma City Thunder,OKC,103,98,Indiana Pacers
2011-12,21100816,2012-04-06,Toronto Raptors,TOR,Cleveland Cavaliers,CLE,80,84,Cleveland Cavaliers
2011-12,21100817,2012-04-06,New Jersey Nets,NJN,Washington Wizards,WAS,110,98,New Jersey Nets
2011-12,21100818,2012-04-06,Atlanta Hawks,ATL,Detroit Pistons,DET,101,96,Atlanta Hawks
2011-12,21100819,2012-04-06,Miami Heat,MIA,Memphis Grizzlies,MEM,82,97,Memphis Grizzlies
2011-12,21100820,2012-04-06,Milwaukee Bucks,MIL,Charlotte Bobcats,CHA,95,90,Milwaukee Bucks
2011-12,21100821,2012-04-06,Dallas Mavericks,DAL,Portland Trail Blazers,POR,97,99,Portland Trail Blazers
2011-12,21100822,2012-04-06,San Antonio Spurs,SAS,New Orleans Hornets,NOH,128,103,San Antonio Spurs
2011-12,21100823,2012-04-06,Denver Nuggets,DEN,Phoenix Suns,PHX,105,99,Denver Nuggets
2011-12,21100824,2012-04-06,Utah Jazz,UTA,Golden State Warriors,GSW,104,98,Utah Jazz
2011-12,21100825,2012-04-06,Los Angeles Lakers,LAL,Houston Rockets,HOU,107,112,Houston Rockets
2011-12,21100826,2012-04-07,Charlotte Bobcats,CHA,Atlanta Hawks,ATL,96,116,Atlanta Hawks
2011-12,21100827,2012-04-07,Indiana Pacers,IND,Boston Celtics,BOS,72,86,Boston Celtics
2011-12,21100828,2012-04-07,Philadelphia 76ers,PHI,Orlando Magic,ORL,82,88,Orlando Magic
2011-12,21100829,2012-04-07,Memphis Grizzlies,MEM,Dallas Mavericks,DAL,94,89,Memphis Grizzlies
2011-12,21100830,2012-04-07,New Orleans Hornets,NOH,Minnesota Timberwolves,MIN,99,90,New Orleans Hornets
2011-12,21100831,2012-04-07,Milwaukee Bucks,MIL,Portland Trail Blazers,POR,116,94,Milwaukee Bucks
2011-12,21100832,2012-04-07,Phoenix Suns,PHX,Los Angeles Lakers,LAL,125,105,Phoenix Suns
2011-12,21100833,2012-04-07,Los Angeles Clippers,LAC,Sacramento Kings,SAC,109,94,Los Angeles Clippers
2011-12,21100834,2012-04-07,Golden State Warriors,GSW,Denver Nuggets,DEN,112,97,Golden State Warriors
2011-12,21100835,2012-04-08,New York Knicks,NYK,Chicago Bulls,CHI,100,99,New York Knicks
2011-12,21100836,2012-04-08,Boston Celtics,BOS,Philadelphia 76ers,PHI,103,79,Boston Celtics
2011-12,21100837,2012-04-08,New Jersey Nets,NJN,Cleveland Cavaliers,CLE,122,117,New Jersey Nets
2011-12,21100838,2012-04-08,Miami Heat,MIA,Detroit Pistons,DET,98,75,Miami Heat
2011-12,21100839,2012-04-08,San Antonio Spurs,SAS,Utah Jazz,UTA,114,104,San Antonio Spurs
2011-12,21100840,2012-04-08,Oklahoma City Thunder,OKC,Toronto Raptors,TOR,91,75,Oklahoma City Thunder
2011-12,21100841,2012-04-08,Sacramento Kings,SAC,Houston Rockets,HOU,87,104,Houston Rockets
