SEASON_END_YEAR,TEAM_ABBREVIATION,PLAYERS,TOTAL_MINUTES,TOTAL_GAMES_PLAYER_SUM,AVG_AGE,TOTAL_RAPTOR_WAR,Raptor_O,Raptor_D,RaptorPLUS_MINUS,TSPCT,USGPCT,ASTPCT,TOVPCT,ORBPCT,DRBPCT,TRBPCT,STLPCT,BLKPCT,ORtg,DRtg,2PPCT,3PPCT,FTPCT,3PAr,FTAr,Pace_PLUS_MINUS
2011,HOU,20,19883,842,25.85,34.1,0.875,-0.269,0.626,54.868,19.865,15.306,12.009,5.463,14.539,10.005,1.481,1.287,112.309,109.136,48.589,24.843,76.62,26.539,28.494,-0.04
2011,IND,15,19780,862,26.133,24.09,-0.501,0.145,-0.356,53.268,19.885,13.481,13.588,5.179,14.801,10.016,1.489,1.674,105.841,106.114,47.537,25.7,76.896,24.622,29.323,-0.055
2011,LAC,17,19856,842,26.235,20.18,-0.478,-0.282,-0.76,53.575,19.842,15.32,14.707,5.669,14.647,10.19,1.508,1.577,105.294,109.078,48.903,25.768,71.708,23.531,33.626,0.134
2011,LAL,16,19830,827,29.062,43.97,0.869,0.764,1.61,53.725,19.92,14.739,12.33,5.845,14.465,10.291,1.599,1.624,110.658,104.464,47.432,31.961,77.258,23.996,27.654,-0.263
2011,MEM,19,19880,861,25.474,34.48,0.105,0.565,0.655,53.202,19.901,13.11,12.904,5.782,14.494,10.092,2.021,1.803,107.584,105.379,48.761,27.803,75.078,13.865,30.044,-0.109
2011,MIA,17,19781,846,30.294,46.35,1.04,0.803,1.848,56.954,19.852,14.534,13.65,5.051,15.104,10.364,1.449,1.709,112.87,103.613,49.534,26.164,76.982,25.34,35.643,-0.044
2011,MIL,17,19829,823,27.294,25.13,-1.171,0.908,-0.276,51.082,19.808,13.899,12.243,4.937,14.947,9.824,1.655,1.609,102.838,102.629,45.265,23.286,75.037,20.508,29.619,-0.055
2011,MIN,17,19778,865,23.765,11.75,-0.738,-0.811,-1.578,52.511,19.909,13.294,14.781,5.948,14.756,10.202,1.497,1.629,104.637,111.269,45.495,31.357,75.434,23.582,28.315,-0.055
2011,NJN,22,20007,867,25.818,10.9,-0.964,-0.729,-1.676,51.241,19.799,14.766,12.427,5.205,14.834,9.884,1.234,1.48,103.224,110.14,45.705,19.72,74.792,19.89,27.874,0.098
2011,NOH,19,19833,882,26.579,31.01,-0.194,0.52,0.317,53.558,19.837,14.458,12.473,5.023,15.249,10.093,1.708,1.499,106.615,105.235,47.968,25.3,75.224,18.605,30.384,0.009
2011,NYK,20,19780,784,25.95,29.17,0.788,-0.658,0.128,56.203,19.938,14.168,12.674,4.856,14.402,9.579,1.576,1.752,112.026,110.088,49.798,34.361,79.173,31.441,30.978,0.307
2011,OKC,18,20006,823,25.167,37.99,0.855,0.133,0.966,55.962,19.876,14.158,12.726,5.475,14.72,10.253,1.685,1.777,112.956,107.076,50.483,23.352,79.016,20.884,33.797,-0.023
2011,ORL,17,19828,779,28.412,41.43,0.25,1.095,1.335,54.735,19.894,13.724,13.786,5.217,15.394,10.423,1.451,1.507,108.368,101.991,49.125,25.741,71.473,33.114,31.626,0.429
2011,PHI,15,19931,817,26.533,30.65,-0.113,0.383,0.288,53.368,19.86,14.844,11.675,4.92,14.903,9.913,1.628,1.354,107.123,105.16,48.019,28.446,75.72,19.272,26.956,-0.219
2011,PHO,19,20005,849,27.684,26.63,0.477,-0.581,-0.134,56.129,19.887,15.123,12.474,4.744,14.32,9.53,1.389,1.326,110.159,110.57,50.381,31.164,76.534,26.553,29.1,0.138
2011,POR,18,19803,795,27.444,32.57,0.34,0.167,0.487,52.914,19.882,14.748,12.6,5.884,14.407,9.967,1.811,1.503,109.198,107.257,47.708,24.044,78.789,22.19,28.335,-0.097
2011,SAC,16,19856,841,24.75,15.1,-0.894,-0.373,-1.26,52.15,19.909,13.413,13.766,5.972,14.879,10.301,1.541,1.415,104.961,109.078,47.793,22.491,74.477,18.521,28.046,-0.016
2011,SAS,20,19784,887,27.45,43.35,1.035,0.525,1.544,56.638,19.888,15.018,12.136,4.989,14.912,10.087,1.568,1.333,112.792,105.709,49.643,27.052,75.162,27.147,29.911,-0.212
2011,TOR,22,19782,800,25.682,10.62,-0.332,-1.361,-1.701,53.337,19.873,14.093,13.68,5.624,14.383,9.889,1.516,1.344,107.208,113.067,49.549,20.557,74.222,14.386,31.509,0.018
2011,UTA,17,19879,857,26.294,23.73,0.146,-0.558,-0.405,54.173,19.855,15.708,13.587,5.415,14.324,9.831,1.67,1.986,107.767,110.435,48.526,27.161,76.771,20.221,31.628,0.067
2011,WAS,23,19931,858,25.913,8.53,-1.084,-0.824,-1.899,51.734,19.895,13.138,13.502,5.597,14.099,9.696,1.703,1.913,103.704,110.303,46.996,23.544,74.833,15.936,30.551,0.181
2012,ATL,16,16167,706,29.312,28.84,0.121,0.634,0.776,53.384,19.853,15.455,13.231,4.759,14.883,9.871,1.759,1.446,105.727,101.393,47.581,30.381,75.309,24.436,26.676,-0.102
2012,BOS,17,15939,714,28.235,27.4,-0.631,1.251,0.616,53.268,19.847,16.756,14.281,3.95,14.489,9.453,1.671,1.74,100.961,98.545,48.225,24.595,75.6,19.343,25.652,-0.042
2012,CHA,16,15888,724,26.188,-8.04,-2.162,-1.578,-3.761,48.059,19.851,15.171,13.567,4.728,14.174,9.268,1.32,1.693,95.273,110.664,43.897,29.662,72.156,16.102,27.784,-0.069
2012,CHI,14,15939,690,28.0,39.04,0.791,1.279,2.071,52.385,19.916,15.822,12.949,6.528,14.859,10.769,1.53,1.734,108.6,98.362,46.364,21.66,72.158,19.598,28.033,-0.29
2012,CLE,21,15966,683,25.19,6.53,-0.844,-1.114,-1.954,50.251,19.864,14.842,14.046,5.784,14.442,9.937,1.535,1.241,101.128,109.112,44.022,26.228,69.514,23.417,31.611,0.098
2012,DAL,16,16064,726,29.438,26.06,-0.247,0.671,0.436,52.493,19.918,14.352,13.556,4.684,14.969,9.889,1.852,1.68,103.783,102.392,47.873,26.479,77.354,27.545,25.562,-0.005
2012,DEN,17,16040,664,25.765,29.07,0.993,-0.167,0.813,55.721,19.926,15.254,13.814,5.536,14.844,10.325,1.729,1.607,110.031,106.259,52.129,23.534,72.889,22.785,33.551,0.02
2012,DET,14,15965,694,27.071,11.12,-0.815,-0.593,-1.396,50.232,19.8,13.61,14.416,5.634,14.556,9.944,1.54,1.371,100.905,106.704,45.205,25.443,72.567,16.266,29.322,-0.051
2012,GSW,20,15915,696,25.7,16.0,0.087,-0.848,-0.787,54.006,19.916,15.205,13.141,4.571,13.834,9.235,1.725,1.751,106.367,109.2,48.61,22.895,74.932,23.522,22.915,0.151
2012,HOU,19,16065,653,25.789,23.78,0.144,0.002,0.179,52.909,19.881,14.094,12.796,5.51,14.68,10.049,1.612,1.48,106.457,105.328,47.693,23.454,74.896,23.737,23.345,0.008
2012,IND,15,15991,702,26.6,28.42,0.514,0.222,0.732,52.414,19.853,12.959,12.763,5.846,14.448,10.18,1.733,1.759,107.378,103.174,45.318,25.75,77.453,19.479,32.355,0.037
